Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
"Mercedes-Benz USA, LLC",2020,1,1,1,Low
Great Dane Trailers,2020,23,1,1,Low
"Kia America, Inc.",2020,104,1,1,Low
Thor Motor Coach,2020,934,1,1,Low
Thor Motor Coach,2020,49,1,1,Low
"Tropos Technologies, Inc.",2020,66,1,1,Low
Newmar Corporation,2020,3202,2,3,High
"Bentley Motors, Ltd.",2005,80,1,1,Low
"Autocar, LLC",2020,82,1,1,Low
Thor Motor Coach,2020,2417,2,3,High
Thor Motor Coach,2020,63,1,1,Low
"Altec Industries, Inc.",2020,141,1,1,Low
"Nissan North America, Inc.",2020,6157,2,3,High
Ford Motor Company,2020,1229,2,3,High
Ford Motor Company,2020,19299,2,3,High
Ford Motor Company,2020,68,1,1,Low
"Foretravel, Inc.",2005,44,1,1,Low
"Mercedes-Benz USA, LLC",2020,3615,2,3,High
Blue Bird Body Company,2020,149,1,1,Low
